step		pdb_file		charge		n_min		n_plus		rosetta_energy (kT)		psi_av (mV)		delta_psi_sq (mV^2)
0   pdb/out/M_C3_Q12_0.pdb   -24   132   108   -3139.5131658124533   -0.755887643652838   4.11820104632153
1   pdb/out/M_C3_Q12_1.pdb   -12   126   114   -3061.941359956356   -0.23146069839336575   5.741654754951328
2   pdb/out/M_C3_Q12_2.pdb   -12   126   114   -3001.9691182218667   -0.23688938421093558   5.913584959175879
3   pdb/out/M_C3_Q12_3.pdb   -12   126   114   -3003.4302939759964   -0.2581613786060704   4.852202791742471
4   pdb/out/M_C3_Q12_4.pdb   -12   126   114   -2974.7460977353207   -0.2225121223636839   4.845171390988348
5   pdb/out/M_C3_Q12_5.pdb   -12   126   114   -2974.7460977353207   -0.2225121223636839   4.845171390988348
6   pdb/out/M_C3_Q12_6.pdb   -12   126   114   -2974.7460977353207   -0.2225121223636839   4.845171390988348
7   pdb/out/M_C3_Q12_7.pdb   -12   123   111   -2964.566780825679   -0.1931110524363665   4.796994418489403
8   pdb/out/M_C3_Q12_8.pdb   -12   120   108   -2949.8239868005567   -0.22384592293979833   4.6300013217517835
9   pdb/out/M_C3_Q12_9.pdb   -12   120   108   -2949.8239868005567   -0.22384592293979833   4.6300013217517835
10   pdb/out/M_C3_Q12_10.pdb   -12   120   108   -2949.8239868005567   -0.22384592293979833   4.6300013217517835
11   pdb/out/M_C3_Q12_11.pdb   -12   117   105   -2938.3430473069875   -0.2381970561732341   4.565303846309944
12   pdb/out/M_C3_Q12_12.pdb   -12   114   102   -2928.3799830849484   -0.22708490988339505   4.473868751588904
13   pdb/out/M_C3_Q12_13.pdb   -12   111   99   -2936.7489936431502   -0.2752840155870024   4.350055054522864
14   pdb/out/M_C3_Q12_14.pdb   -12   111   99   -2936.7489936431502   -0.2752840155870024   4.350055054522864
15   pdb/out/M_C3_Q12_15.pdb   -12   111   99   -2925.6256507164026   -0.26406341116913884   4.574659781148634
16   pdb/out/M_C3_Q12_16.pdb   -12   111   99   -2925.6256507164026   -0.26406341116913884   4.574659781148634
17   pdb/out/M_C3_Q12_17.pdb   -12   111   99   -2925.6256507164026   -0.26406341116913884   4.574659781148634
18   pdb/out/M_C3_Q12_18.pdb   -12   111   99   -2925.6256507164026   -0.26406341116913884   4.574659781148634
19   pdb/out/M_C3_Q12_19.pdb   -12   111   99   -2925.6256507164026   -0.26406341116913884   4.574659781148634
20   pdb/out/M_C3_Q12_20.pdb   -12   111   99   -2925.6256507164026   -0.26406341116913884   4.574659781148634
21   pdb/out/M_C3_Q12_21.pdb   -12   108   96   -2925.9281887032394   -0.29742573192258925   4.449163069535414
22   pdb/out/M_C3_Q12_22.pdb   -12   108   96   -2925.9281887032394   -0.29742573192258925   4.449163069535414
23   pdb/out/M_C3_Q12_23.pdb   -12   108   96   -2925.9281887032394   -0.29742573192258925   4.449163069535414
24   pdb/out/M_C3_Q12_24.pdb   -12   108   96   -2925.9281887032394   -0.29742573192258925   4.449163069535414
25   pdb/out/M_C3_Q12_25.pdb   -12   108   96   -2930.2572889723688   -0.34585834049088776   4.076131713974727
26   pdb/out/M_C3_Q12_26.pdb   -12   108   96   -2916.903077533492   -0.5332595817085782   4.330885463617706
27   pdb/out/M_C3_Q12_27.pdb   -12   108   96   -2910.3313200835014   -0.38388803824528983   4.307531014951537
28   pdb/out/M_C3_Q12_28.pdb   -12   108   96   -2910.3313200835014   -0.38388803824528983   4.307531014951537
